sign	date	prediction
aries	2019-01-01	 Hoy comienza un año que estará lleno de grandes oportunidades. La suerte estará de tu lado siempre y cuando no la esquives tú. Déjate llevar por la vida y llegarás a un sitio seguro y confortable. Es importante, eso sí, que tengas claro qué es lo que quieres.
tauro	2019-01-01	 Compartirás el día en familia y disfrutarás mucho, pero debes evitar por todos los medios un tema de conversación que sabes que es algo delicado y que podría llevarte a una discusión con uno de tus seres queridos. No seas testarudo y no te empeñes en tener la razón. Ojo con esto.
geminis	2019-01-01	 Llegarán este año nuevas responsabilidades a las que tendrás que hacer frente, pero no te costará ningún esfuerzo afrontarlas. También serás más creativo que nunca: llegarás a sorprender a todos tus familiares y amigos. Algo que estás buscando desde hace tiempo aparecerá de manera casual.
cancer	2019-01-01	 Entre los retos del nuevo año estará el de ayudar a un familiar que no se encontrará en su mejor momento. No será nada grave y por supuesto tendrá solución, pero él se lo tomará demasiado a la tremenda. Tu misión principal será escucharle sin necesidad de juzgarle.
leo	2019-01-01	 Podrías interpretar mal la conducta de una persona que, en realidad, no te habría hecho nada malo. Sé consciente de qué es lo que te hace feliz y no pierdas el tiempo con historias que terminan por desgastarte. Hoy puede ser un día especial: aprovéchalo al máximo. 
virgo	2019-01-01	 Se acercan grandes cambios relacionados con el mundo de la comunicación y el lenguaje. Si has estado pensando en escribir un libro, podría ser el momento perfecto para hacerlo. No dejes de embarcarte en ningún proyecto por miedo al fracaso. Atrévete, sólo así sabrás hasta dónde puedes llegar.
libra	2019-01-01	 Iniciarás una colaboración con una ONG o entidad social que podría llevarte a niveles de satisfacción que no habías alcanzado antes. Sé útil a los demás y te estarás ayudando a ti mismo. Si alguien de tu entorno no llega a comprender tus nuevas acciones, no le hagas caso.
escorpio	2019-01-01	 Conocerás a alguien especial en el terreno amoroso, pero no te sentirás del todo preparado para iniciar una relación demasiado formal. No tienes por qué hacerlo: ve poco a poco y así la vida se irá desplegando delante de ti. Estás en un gran momento: disfrútalo.
sagitario	2019-01-01	 Este año estarás muy motivado para hacer cosas innovadoras y sorprendentes. Debes permanecer muy activo: no permitas que la tristeza pueda volver a atraparte. La vida es maravillosa si tú decides verla así. Y en 2019 habrá buenas oportunidades para ti si sabes trabajarlas.
capricornio	2019-01-01	 Dentro de muy poco te sentirás más preparado para dar un paso más y comprometerte con tu pareja: entonces, será el momento de hablar con ella y formalizar tu relación. En el trabajo, se materializarán proyectos que llevas ideando mucho tiempo. Todo va a marchar bastante bien.
acuario	2019-01-01	 Será tu año más aventurero: estará cargado de viajes que harán que vivas experiencias excitantes que no habías vivido hasta ahora. En el terreno amoroso te sentirás algo decepcionado por tu pareja. Debes hablar con ella con absoluta sinceridad aunque te cueste trabajo.
piscis	2019-01-01	 Si tienes pendiente una reforma de tu hogar o ciertos cambios importantes, no esperes al momento adecuado: es ahora cuando debes pasar a la acción y poner en la agenda cuándo harás las gestiones adecuadas. Empiezas el año sintiéndote muy feliz a todos los niveles.
aries	2019-01-02	 La reincorporación al trabajo será dura, pero te acostumbrarás muy pronto. Es importante que te muestres positivo ante tus superiores: abandona toda queja. Aprovecha el tiempo libre para escribir tus propósitos de este año si aún no lo has hecho.
tauro	2019-01-02	 No pierdas ni un segundo más para encontrar el trabajo que te haga feliz. No tienes por qué conformarte con lo que ya tienes: sigue insistiendo y perseverando hasta que hayas alcanzado lo que deseas. Te sentirás motivado, positivo y seguro de ti mismo. Y eso te abrirá cierta puertas.
